Looking for shortest distance between Arbre and AlphaCentauri...
  Travel complete, distance: 316 shortest: Infinity longest: -Infinity
  Travel complete, distance: 552 shortest: 162 longest: 688
  Travel complete, distance: 451 shortest: 162 longest: 688
  Travel complete, distance: 400 shortest: 162 longest: 688
  Travel complete, distance: 527 shortest: 162 longest: 688
  Travel complete, distance: 518 shortest: 162 longest: 688
  Travel complete, distance: 429 shortest: 162 longest: 688
  Travel complete, distance: 467 shortest: 162 longest: 688
  Travel complete, distance: 366 shortest: 162 longest: 688
  Travel complete, distance: 413 shortest: 162 longest: 688
  Travel complete, distance: 441 shortest: 162 longest: 688
  Travel complete, distance: 394 shortest: 162 longest: 688
  Travel complete, distance: 548 shortest: 162 longest: 688
  Travel complete, distance: 408 shortest: 162 longest: 688
  Travel complete, distance: 586 shortest: 162 longest: 688
  Travel complete, distance: 493 shortest: 162 longest: 688
  Travel complete, distance: 305 shortest: 162 longest: 688
  Travel complete, distance: 343 shortest: 162 longest: 688
  Travel complete, distance: 497 shortest: 162 longest: 688
  Travel complete, distance: 421 shortest: 162 longest: 688
  Travel complete, distance: 450 shortest: 162 longest: 688
  Travel complete, distance: 336 shortest: 162 longest: 688
  Travel complete, distance: 508 shortest: 162 longest: 688
  Travel complete, distance: 560 shortest: 162 longest: 688
  Travel complete, distance: 593 shortest: 162 longest: 688
  Travel complete, distance: 624 shortest: 162 longest: 688
  Travel complete, distance: 453 shortest: 162 longest: 688
  Travel complete, distance: 432 shortest: 162 longest: 688
  Travel complete, distance: 533 shortest: 162 longest: 688
  Travel complete, distance: 547 shortest: 162 longest: 688
  Travel complete, distance: 448 shortest: 162 longest: 688
  Travel complete, distance: 526 shortest: 162 longest: 688
  Travel complete, distance: 355 shortest: 162 longest: 688
  Travel complete, distance: 419 shortest: 162 longest: 688
  Travel complete, distance: 350 shortest: 162 longest: 688
  Travel complete, distance: 430 shortest: 162 longest: 688
  Travel complete, distance: 403 shortest: 162 longest: 688
  Travel complete, distance: 453 shortest: 162 longest: 688
  Travel complete, distance: 432 shortest: 162 longest: 688
  Travel complete, distance: 402 shortest: 162 longest: 688
  Travel complete, distance: 486 shortest: 162 longest: 688
  Travel complete, distance: 515 shortest: 162 longest: 688
  Travel complete, distance: 488 shortest: 162 longest: 688
  Travel complete, distance: 466 shortest: 162 longest: 688
  Travel complete, distance: 568 shortest: 162 longest: 688
  Travel complete, distance: 517 shortest: 162 longest: 688
  Travel complete, distance: 499 shortest: 162 longest: 688
  Travel complete, distance: 551 shortest: 162 longest: 688
  Travel complete, distance: 448 shortest: 162 longest: 688
  Travel complete, distance: 479 shortest: 162 longest: 688
  Travel complete, distance: 498 shortest: 162 longest: 688
  Travel complete, distance: 477 shortest: 162 longest: 688
  Travel complete, distance: 325 shortest: 162 longest: 688
  Travel complete, distance: 348 shortest: 162 longest: 688
  Travel complete, distance: 376 shortest: 162 longest: 688
  Travel complete, distance: 327 shortest: 162 longest: 688
  Travel complete, distance: 346 shortest: 162 longest: 688
  Travel complete, distance: 274 shortest: 162 longest: 688
  Travel complete, distance: 383 shortest: 162 longest: 688
  Travel complete, distance: 510 shortest: 162 longest: 688
  Travel complete, distance: 423 shortest: 162 longest: 688
  Travel complete, distance: 533 shortest: 162 longest: 688
  Travel complete, distance: 414 shortest: 162 longest: 688
  Travel complete, distance: 397 shortest: 162 longest: 688
  Travel complete, distance: 434 shortest: 162 longest: 688
  Travel complete, distance: 425 shortest: 162 longest: 688
  Travel complete, distance: 338 shortest: 162 longest: 688
  Travel complete, distance: 376 shortest: 162 longest: 688
  Travel complete, distance: 465 shortest: 162 longest: 688
  Travel complete, distance: 512 shortest: 162 longest: 688
  Travel complete, distance: 421 shortest: 162 longest: 688
  Travel complete, distance: 435 shortest: 162 longest: 688
  Travel complete, distance: 285 shortest: 162 longest: 688
  Travel complete, distance: 363 shortest: 162 longest: 688
  Travel complete, distance: 395 shortest: 162 longest: 688
  Travel complete, distance: 459 shortest: 162 longest: 688
  Travel complete, distance: 222 shortest: 162 longest: 688
  Travel complete, distance: 245 shortest: 162 longest: 688
  Travel complete, distance: 358 shortest: 162 longest: 688
  Travel complete, distance: 309 shortest: 162 longest: 688
  Travel complete, distance: 341 shortest: 162 longest: 688
  Travel complete, distance: 269 shortest: 162 longest: 688
  Travel complete, distance: 252 shortest: 162 longest: 688
  Travel complete, distance: 274 shortest: 162 longest: 688
  Travel complete, distance: 343 shortest: 162 longest: 688
  Travel complete, distance: 260 shortest: 162 longest: 688
  Travel complete, distance: 437 shortest: 162 longest: 688
  Travel complete, distance: 332 shortest: 162 longest: 688
  Travel complete, distance: 233 shortest: 162 longest: 688
  Travel complete, distance: 327 shortest: 162 longest: 688
  Travel complete, distance: 396 shortest: 162 longest: 688
  Travel complete, distance: 355 shortest: 162 longest: 688
  Travel complete, distance: 418 shortest: 162 longest: 688
  Travel complete, distance: 283 shortest: 162 longest: 688
  Travel complete, distance: 319 shortest: 162 longest: 688
  Travel complete, distance: 399 shortest: 162 longest: 688
  Travel complete, distance: 391 shortest: 162 longest: 688
  Travel complete, distance: 441 shortest: 162 longest: 688
  Travel complete, distance: 308 shortest: 162 longest: 688
  Travel complete, distance: 278 shortest: 162 longest: 688
  Travel complete, distance: 439 shortest: 162 longest: 688
  Travel complete, distance: 425 shortest: 162 longest: 688
  Travel complete, distance: 367 shortest: 162 longest: 688
  Travel complete, distance: 395 shortest: 162 longest: 688
  Travel complete, distance: 262 shortest: 162 longest: 688
  Travel complete, distance: 304 shortest: 162 longest: 688
  Travel complete, distance: 388 shortest: 162 longest: 688
  Travel complete, distance: 410 shortest: 162 longest: 688
  Travel complete, distance: 474 shortest: 162 longest: 688
  Travel complete, distance: 391 shortest: 162 longest: 688
  Travel complete, distance: 522 shortest: 162 longest: 688
  Travel complete, distance: 417 shortest: 162 longest: 688
  Travel complete, distance: 364 shortest: 162 longest: 688
  Travel complete, distance: 412 shortest: 162 longest: 688
  Travel complete, distance: 476 shortest: 162 longest: 688
  Travel complete, distance: 368 shortest: 162 longest: 688
  Travel complete, distance: 498 shortest: 162 longest: 688
  Travel complete, distance: 342 shortest: 162 longest: 688
  Travel complete, distance: 455 shortest: 162 longest: 688
  Travel complete, distance: 484 shortest: 162 longest: 688
  Travel complete, distance: 481 shortest: 162 longest: 688
  Travel complete, distance: 459 shortest: 162 longest: 688
  Travel complete, distance: 398 shortest: 162 longest: 688
  Travel complete, distance: 347 shortest: 162 longest: 688
  Travel complete, distance: 575 shortest: 162 longest: 688
  Travel complete, distance: 556 shortest: 162 longest: 688
  Travel complete, distance: 549 shortest: 162 longest: 688
  Travel complete, distance: 505 shortest: 162 longest: 688
  Travel complete, distance: 444 shortest: 162 longest: 688
  Travel complete, distance: 419 shortest: 162 longest: 688
  Travel complete, distance: 329 shortest: 162 longest: 688
  Travel complete, distance: 423 shortest: 162 longest: 688
  Travel complete, distance: 468 shortest: 162 longest: 688
  Travel complete, distance: 427 shortest: 162 longest: 688
  Travel complete, distance: 516 shortest: 162 longest: 688
  Travel complete, distance: 381 shortest: 162 longest: 688
  Travel complete, distance: 324 shortest: 162 longest: 688
